FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9881,Assistant Administrative Secretary I,Annual,2,1,40008.00,80016.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9876,Scheduler,Annual,1,1,40008.00,40008.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9876,Scheduler,Annual,1,1,42000.00,42000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9876,Scheduler,Annual,1,1,62496.00,62496.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,105000.00,105000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,120000.00,120000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,124992.00,124992.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,159492.00,159492.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,162492.00,162492.00
LOCAL,1,OFFICE OF THE MAYOR,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,124992.00,124992.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,53844.00,53844.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,62496.00,62496.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,62796.00,62796.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,69684.00,69684.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,90000.00,90000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,0,9637,Administrative Assistant,Annual,3,1,40008.00,120024.00
LOCAL,1,OFFICE OF THE MAYOR,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,75000.00,75000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9617,Administrative Secretary,Annual,1,1,40008.00,40008.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9617,Administrative Secretary,Annual,1,1,44004.00,44004.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9881,Assistant Administrative Secretary I,Annual,1,1,35004.00,35004.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9642,Deputy Press Secretary,Annual,1,1,116904.00,116904.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,94992.00,94992.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9616,Assistant Press Secretary,Annual,1,1,54996.00,54996.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9616,Assistant Press Secretary,Annual,1,1,93000.00,93000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9616,Assistant Press Secretary,Annual,1,1,93996.00,93996.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9616,Assistant Press Secretary,Annual,1,1,94992.00,94992.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9616,Assistant Press Secretary,Annual,1,1,96000.00,96000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9616,Assistant Press Secretary,Annual,1,1,99996.00,99996.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,9615,Press Secretary,Annual,1,1,162492.00,162492.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,744,Press Aide II,Annual,1,1,40008.00,40008.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 0,9,740,Press Aide I,Annual,1,1,45000.00,45000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9892,Office Manager - Washington D.C.,Annual,1,1,49998.00,49998.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9883,Assistant Administrative Secretary III,Annual,1,1,86796.00,86796.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9878,Assistant to the Director of Intergovernmental Affairs,Annual,1,1,115368.00,115368.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9807,Legislative Assistant,Annual,1,1,54996.00,54996.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9807,Legislative Assistant,Annual,1,1,60408.00,60408.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9670,Director of Intergovernmental Affairs,Annual,1,1,168996.00,168996.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,48000.00,48000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,60408.00,60408.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,63516.00,63516.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,116652.00,116652.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,135000.00,135000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,48000.00,48000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,59808.00,59808.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,63516.00,63516.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,64992.00,64992.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,99996.00,99996.00
LOCAL,1,OFFICE OF THE MAYOR,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,40008.00,40008.00
LOCAL,1,OFFICE OF THE MAYOR,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 0,9,9639,Assistant to Mayor,Annual,1,1,99996.00,99996.00
LOCAL,1,OFFICE OF THE MAYOR,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,40008.00,40008.00
LOCAL,1,OFFICE OF THE MAYOR,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,94980.00,94980.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3005,Administration,0,,1 0,9,9903,Inspector General,Annual,1,1,161856.00,161856.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,66564.00,66564.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 0,10,629,Principal Programmer/Analyst,Annual,1,1,83352.00,83352.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 0,10,123,Fiscal Administrator,Annual,1,1,69684.00,69684.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1300.00,1300.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 0,9,9659,Deputy Inspector General,Annual,1,1,126624.00,126624.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 0,0,1262,Assistant Inspector General,Annual,1,1,97164.00,97164.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,BX 13,20,308,Staff Assistant,Annual,1,1,57648.00,57648.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1150.00,1150.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 0,9,1680,Director of Legal Investigation,Annual,1,1,126624.00,126624.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 0,0,1288,Forensic Audit Investigator,Annual,1,1,66180.00,66180.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 0,0,1279,Assistant Director of Legal Investigation - IG,Annual,1,1,115008.00,115008.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 0,10,1261,Assistant Chief Investigator - IG,Annual,2,1,76008.00,152016.00
GRANTS,27,FINANCE,585,CHILD CARE,1005,2800,DHS ACCOUNTING,3800,DHS Accounting,0,,1 0,0,44,Fringe Benefits,1,0,0,33990.00,33990.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 16,10,1256,Supervising Investigator,Annual,1,1,59796.00,59796.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 16,10,1256,Supervising Investigator,Annual,2,1,77280.00,154560.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 14,10,1255,Investigator,Annual,1,1,49668.00,49668.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 15,20,1254,Investigator Specialist,Annual,1,1,54492.00,54492.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 15,20,1254,Investigator Specialist,Annual,1,1,54492.00,54492.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,84780.00,84780.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 13,20,308,Staff Assistant,Annual,1,1,73752.00,73752.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 15,20,305,Assistant to the Director,Annual,1,1,84780.00,84780.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 0,0,152,Senior Auditor - IG,Annual,1,1,76500.00,76500.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1278.00,1278.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,216.00,216.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3026,Audit and Policy Review,0,,3 0,0,152,Senior Auditor - IG,Annual,1,1,74274.00,74274.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3026,Audit and Policy Review,0,,3 0,0,152,Senior Auditor - IG,Annual,2,1,76500.00,153000.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,3 0,0,1369,Senior Compliance Officer,Annual,1,1,95004.00,95004.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,GY 6,20,1367,Assistant Compliance Officer,Annual,2,1,56592.00,113184.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,GY 6,20,1367,Assistant Compliance Officer,Annual,1,1,53844.00,53844.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,3 0,0,1262,Assistant Inspector General,Annual,1,1,97164.00,97164.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,4385.00,4385.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1374.00,1374.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3215,Legal,0,,1 0,9,1264,Attorney - IGO,Annual,1,1,72000.00,72000.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3215,Legal,0,,3 0,0,1262,Assistant Inspector General,Annual,1,1,97164.00,97164.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,1 0,9,9659,Deputy Inspector General,Annual,1,1,115002.00,115002.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,3 0,0,1288,Forensic Audit Investigator,Annual,1,1,66180.00,66180.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,3 0,0,1288,Forensic Audit Investigator,Annual,1,1,71244.00,71244.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,3 0,0,1287,Computer Forensic Investigator,Annual,1,1,85872.00,85872.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,3 0,10,1261,Assistant Chief Investigator - IG,Annual,1,1,76008.00,76008.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,3 0,10,1261,Assistant Chief Investigator - IG,Annual,1,1,76008.00,76008.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,BX 16,10,1256,Supervising Investigator,Annual,2,1,66564.00,133128.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,BX 14,10,1255,Investigator,Annual,1,1,49668.00,49668.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3220,Investigations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1788.00,1788.00
LOCAL,3,IG,200,WATER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3226,Audit and Policy Review,0,,3 0,0,1430,Policy Analyst,Annual,2,1,52500.00,105000.00
LOCAL,3,IG,100,CORPORATE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3226,Audit and Policy Review,0,,3 0,0,151,Auditor - IG,Annual,1,1,66180.00,66180.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3310,Operations,0,,BX 10,10,307,Administrative Assistant II - Excluded,Annual,1,1,41220.00,41220.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3310,Operations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3315,Legal,0,,1 0,9,9659,Deputy Inspector General,Annual,1,1,126624.00,126624.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3315,Legal,0,,3 0,0,1262,Assistant Inspector General,Annual,1,1,97164.00,97164.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3320,Investigations,0,,3 0,0,1288,Forensic Audit Investigator,Annual,1,1,66180.00,66180.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3320,Investigations,0,,3 0,0,1260,Chief Investigator - IG,Annual,1,1,102552.00,102552.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3320,Investigations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3705,Administration,0,,1 0,0,9637,Administrative Assistant,Annual,1,1,70164.00,70164.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3710,Operations,0,,1 0,0,9613,Chief Administrative Officer,Annual,1,1,107964.00,107964.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3710,Operations,0,,BX 10,10,1285,Investigative Assistant - IG,Annual,1,1,39360.00,39360.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3710,Operations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3720,Investigations,0,,3 0,10,1261,Assistant Chief Investigator - IG,Annual,1,1,76008.00,76008.00
LOCAL,3,IG,314,SEWER FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3720,Investigations,0,,3 0,0,1260,Chief Investigator - IG,Annual,1,1,105828.00,105828.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3720,Investigations,0,,BX 16,10,1256,Supervising Investigator,Annual,1,1,66564.00,66564.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3720,Investigations,0,,BX 16,10,1256,Supervising Investigator,Annual,1,1,77280.00,77280.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3720,Investigations,0,,BX 15,20,1254,Investigator Specialist,Annual,1,1,54492.00,54492.00
LOCAL,3,IG,740,O'HARE REVENUE FUND,1005,2005,OFFICE OF INSPECTOR GENERAL,3720,Investigations,0,,BX 15,20,1254,Investigator Specialist,Annual,1,1,62640.00,62640.00
