FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,167628.00,167628.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,81120.00,81120.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,0,3858,Director / Community Liaison,Annual,1,1,92820.00,92820.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,135456.00,135456.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,135204.00,135204.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,136344.00,136344.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,134112.00,134112.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,128856.00,128856.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,178992.00,178992.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,91932.00,91932.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,99912.00,99912.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,139260.00,139260.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,132540.00,132540.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9855,Assistant Director - Mayor's Office,Annual,2,1,139260.00,278520.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9807,Legislative Assistant,Annual,2,1,75720.00,151440.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,96576.00,96576.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,3 00,9,9804,Senior Legislative Asst,Annual,4,1,90084.00,360336.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,151128.00,151128.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3125,Office of Risk Management,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3125,Office of Risk Management,0000,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,156564.00,156564.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3125,Office of Risk Management,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,63336.00,63336.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,75576.00,75576.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,128856.00,128856.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,86580.00,86580.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,95616.00,95616.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9671,Chief Diversity Officer,Annual,1,1,117840.00,117840.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,139260.00,139260.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,103008.00,103008.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,64896.00,64896.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Public Safety,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,124380.00,124380.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Public Safety,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,3,1,97548.00,292644.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Public Safety,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,91932.00,183864.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Public Safety,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,90852.00,90852.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Public Safety,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Public Safety,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,146004.00,146004.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Public Safety,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,56820.00,56820.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,128856.00,128856.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,108816.00,108816.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,94680.00,94680.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,86532.00,86532.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3155,Office of Climate and Environmental Equity,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,118452.00,118452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3155,Office of Climate and Environmental Equity,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,3,1,91932.00,275796.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3155,Office of Climate and Environmental Equity,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,94680.00,94680.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3155,Office of Climate and Environmental Equity,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,151128.00,151128.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,1 00,9,9903,Inspector General,Annual,1,1,183840.00,183840.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 13,20,1396,Human Resources Associate - IG,Annual,1,1,52956.00,52956.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,20,1327,Supervisor of Personnel Administration,Annual,1,1,114012.00,114012.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,GY 04,20,1169,Operations Analyst - IG,Annual,1,1,51900.00,51900.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 15,10,0802,Executive Administrative Assistant II,Annual,1,1,63780.00,63780.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,89532.00,89532.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,77892.00,77892.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 16,20,0729,Information Coordinator,Annual,1,1,69984.00,69984.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,3 00,0,0705,Director of Public Affairs,Annual,1,1,113244.00,113244.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,55512.00,55512.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,48240.00,48240.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,20,0126,Financial Officer,Annual,1,1,103920.00,103920.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,6574.00,6574.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,3 00,9,9756,General Counsel,Annual,1,1,152652.00,152652.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,3 00,10,1645,Associate Staff Attorney,Annual,1,1,66840.00,66840.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,GY 08,20,1368,Compliance Officer,Annual,2,1,75852.00,151704.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,3 00,0,1262,Assistant Inspector General,Annual,4,1,113724.00,454896.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,3 00,0,1262,Assistant Inspector General,Annual,2,1,110412.00,220824.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,48240.00,96480.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,3 00,0,1202,Associate General Counsel - IG,Annual,2,1,134112.00,268224.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,3 00,0,1202,Associate General Counsel - IG,Annual,1,1,130200.00,130200.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,B 13,1,0308,Staff Assistant,Annual,1,1,59184.00,59184.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,3294.00,3294.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,1 00,9,9659,Deputy Inspector General,Annual,1,1,143868.00,143868.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,3 00,0,1260,Chief Investigator - IG,Annual,2,1,116676.00,233352.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,48240.00,48240.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 09,0,1222,Investigator III - IG,Annual,3,1,112164.00,336492.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 09,0,1222,Investigator III - IG,Annual,1,1,89076.00,89076.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,81552.00,81552.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,78000.00,78000.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,75852.00,75852.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 06,0,1219,Investigator I - IG,Annual,2,1,66228.00,132456.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 06,0,1219,Investigator I - IG,Annual,3,1,63012.00,189036.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,52956.00,52956.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,13922.00,13922.00
