FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,132720.00,132720.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,123804.00,123804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,83556.00,83556.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,0,3858,Director / Community Liaison,Annual,1,1,95604.00,95604.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,139524.00,139524.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,140436.00,140436.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,139260.00,139260.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,138132.00,138132.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,102912.00,102912.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,118464.00,118464.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,84468.00,84468.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,143436.00,143436.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,136512.00,136512.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9855,Assistant Director - Mayor's Office,Annual,2,1,143436.00,286872.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9807,Legislative Assistant,Annual,2,1,77988.00,155976.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,99468.00,99468.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,3 00,9,9804,Senior Legislative Asst,Annual,4,1,92784.00,371136.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,121380.00,121380.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,98484.00,98484.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,77844.00,77844.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,132720.00,132720.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,89172.00,89172.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,106644.00,106644.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,84876.00,84876.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,143436.00,143436.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,66840.00,66840.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,128112.00,128112.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,100476.00,200952.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,94692.00,189384.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,93576.00,93576.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,150384.00,150384.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,58524.00,58524.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,94692.00,94692.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,2,1,138132.00,276264.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,132720.00,132720.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,112080.00,112080.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,94680.00,94680.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,89124.00,89124.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Services,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Services,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,143436.00,143436.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,120180.00,120180.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804.00,183804.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,1 00,9,9903,Inspector General,Annual,1,1,189360.00,189360.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 13,20,1396,Human Resources Associate - IG,Annual,1,1,58896.00,58896.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 18,10,1307,Manager of Human Resources,Annual,1,1,86520.00,86520.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,GY 04,20,1169,Operations Analyst - IG,Annual,1,1,55068.00,55068.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 15,10,0802,Executive Administrative Assistant II,Annual,1,1,70872.00,70872.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,86520.00,86520.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,82644.00,82644.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,B 15,1,0729,Information Coordinator,Annual,1,1,77892.00,77892.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,3 00,0,0705,Director of Public Affairs,Annual,1,1,116640.00,116640.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,53664.00,53664.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,20,0126,Financial Officer,Annual,1,1,110256.00,110256.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8234.00,8234.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,X 32,9,9756,General Counsel,Annual,1,1,163068.00,163068.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,3 00,10,1645,Associate Staff Attorney,Annual,1,1,68844.00,68844.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 15,10,1611,Case Analyst,Annual,1,1,67656.00,67656.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,X 33,0,1262,Assistant Inspector General,Annual,6,1,118128.00,708768.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,56172.00,56172.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,53664.00,107328.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,51180.00,51180.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,X 32,9,1215,Chief Assistant Inspector General,Annual,1,1,135084.00,135084.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,X 33,0,1202,Associate General Counsel - IG,Annual,3,1,142536.00,427608.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,58893.00,58893.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,X 32,9,9659,Deputy Inspector General,Annual,1,1,152748.00,152748.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,X 33,0,1260,Chief Investigator - IG,Annual,2,1,133524.00,267048.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 09,0,1222,Investigator III - IG,Annual,3,1,118992.00,356976.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 09,0,1222,Investigator III - IG,Annual,1,1,98664.00,98664.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,90444.00,90444.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,86520.00,86520.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,82752.00,82752.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 06,0,1219,Investigator I - IG,Annual,2,1,73800.00,147600.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 06,0,1219,Investigator I - IG,Annual,3,1,66852.00,200556.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,58896.00,58896.00
